Time stamp,Paris Day text,Paris Day Type,Paris third,Location of photo,Coordinate,Instagram user,Instagram post,Instagram link,Instgram photo,,,,,,,,
"July 22, 2015 at 08:24PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.875707972,2.296699046&z=19",iamkellyoyono,Cara de futin ????????????,https://instagram.com/p/5bn7HtzCDN/,https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/s640x640/e35/sh0.08/11249119_1101664989844506_1336546568_n.jpg,,,,,,,,
"July 22, 2015 at 07:35PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.873703333,2.296505&z=19",reicheru88,#Paris #??? #??????#????,https://instagram.com/p/5biOoztzwc/,https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/s640x640/e35/sh0.08/11326081_784210288343798_1306083431_n.jpg,,,,,,,,
"July 24, 2015 at 09:57AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.8847504,2.34112&z=19",stephchermont,Un #jukebox de rêve pour la @lotinez_pics,https://instagram.com/p/5fpxdVq1Rm/,https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/s640x640/e35/sh0.08/11417413_931467886892045_1439863127_n.jpg,,,,,,,,
"July 23, 2015 at 12:04PM",Thursday,Weekday,12am - 8am,South East,"https://maps.google.com/?q=48.876146723,2.293864972&z=19",officialberdina,Moi ezhik - goalkeeper ??????! @acunamero #my tower#mysong#mylight#mysol#mystrength#myheart #footballhislife#goalkeeper#milano#venice#melanofootballschool#iloveyou#myall#myeverything,https://instagram.com/p/5dTfETRrVV/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/10547178_1006002669430857_1605675458_n.jpg,,,,,,,,
"July 23, 2015 at 10:46AM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853527288,2.350052705&z=19",c.h.e.t.t.i,Guess where I am ? Haha goooood night!??,https://instagram.com/p/5dKgkbCIc7/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/10731904_1871642866393433_1441602544_n.jpg,,,,,,,,
"July 23, 2015 at 05:37AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.886694444,2.343&z=19",stevew_59,The Paris skyline from the Sacre-Coeurr #sacrecoeur #paris,https://instagram.com/p/5cnMN-r1WL/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/10731960_836148939800913_812082455_n.jpg,,,,,,,,
"July 22, 2015 at 01:36PM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.884677704,2.343400525&z=19",tomarley,"The Basilica of the Sacred Heart of Paris, commonly known as Sacr?Cœur Basilica and often simply Sacr?Cœur. Pretty much just a cool looking church everyone drinks in front of  #wasted #paris #france #sacrècoeur",https://instagram.com/p/5a5N6ymB9G/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11199426_1532787546967868_74620376_n.jpg,,,,,,,,
"July 24, 2015 at 08:48AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.854722222,2.3475&z=19",madelinedelaney,Ille de la cit?#nofilter #paris #seine #bestintravel,https://instagram.com/p/5fhzHGHNwH/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11249862_414069195450209_1555445703_n.jpg,,,,,,,,
"July 22, 2015 at 10:47PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853039718,2.349711657&z=19",watsoninparis,By the Seine ?? #Paris #Seine #River #Summer #Vacation ?,https://instagram.com/p/5b4SCwvgQb/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11256696_717290188398566_1461228666_n.jpg,,,,,,,,
"July 22, 2015 at 11:33PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.87660546,2.29636479&z=19",emirotluoglu,#cafedeflore #saintgermain #paris #france,https://instagram.com/p/5b9hB0zHyc/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11256783_1464954670466265_1476831676_n.jpg,,,,,,,,
