Time stamp,Paris Day text,Instagram user
"July 22, 2015 at 08:24PM",Wednesday,iamkellyoyono
"July 22, 2015 at 07:35PM",Wednesday,reicheru88
"July 24, 2015 at 09:57AM",Thursday,stephchermont
"July 23, 2015 at 12:04PM",Thursday,officialberdina
"July 23, 2015 at 10:46AM",Thursday,c.h.e.t.t.i
"July 23, 2015 at 05:37AM",Wednesday,stevew_59
"July 22, 2015 at 01:36PM",Wednesday,tomarley
"July 24, 2015 at 08:48AM",Thursday,madelinedelaney
"July 22, 2015 at 10:47PM",Wednesday,watsoninparis
"July 22, 2015 at 11:33PM",Wednesday,emirotluoglu
"July 23, 2015 at 10:37AM",Thursday,iamdonbocari
"July 23, 2015 at 12:03AM",Wednesday,hubert_theesntl
"July 23, 2015 at 03:15AM",Wednesday,midnightinparis.claudia
"July 24, 2015 at 10:07AM",Friday,eunddoni_s2
"July 24, 2015 at 03:53AM",Thursday,davidmedina161
"July 23, 2015 at 06:39PM",Thursday,isabellafonti
"July 24, 2015 at 12:13PM",Friday,malpal29
"July 24, 2015 at 12:22AM",Thursday,chophaa
"July 23, 2015 at 08:23AM",Wednesday,enrangdoignons
"July 23, 2015 at 07:16PM",Thursday,vitogia72
"July 24, 2015 at 09:47AM",Thursday,remidargegenphotographies
"July 24, 2015 at 11:42AM",Friday,tritranz1990
"July 22, 2015 at 10:27PM",Wednesday,shadai_joyce
"July 23, 2015 at 03:19AM",Wednesday,staka0418
"July 24, 2015 at 09:04AM",Thursday,mrbirkin
"July 22, 2015 at 08:57PM",Wednesday,moksh_the_restrolounge
"July 24, 2015 at 03:39AM",Thursday,maisonmanureas
"July 23, 2015 at 04:38PM",Thursday,avekefir
"July 24, 2015 at 12:43PM",Friday,estefanybetsn
"July 23, 2015 at 11:41PM",Thursday,megantickle
"July 24, 2015 at 02:25PM",Friday,margauxgr_
"July 22, 2015 at 07:08PM",Wednesday,mile_rb
"July 22, 2015 at 01:45PM",Wednesday,_emilys211_
"July 22, 2015 at 04:47PM",Wednesday,robinvirginie
"July 24, 2015 at 05:45AM",Thursday,segerpolen
"July 24, 2015 at 09:50AM",Thursday,remidargegenphotographies
"July 23, 2015 at 10:25AM",Thursday,fionabrissonofficial
"July 23, 2015 at 05:08PM",Thursday,thecultcollective
"July 24, 2015 at 12:19PM",Friday,rebeccamcrosby
"July 24, 2015 at 06:36AM",Thursday,psilo84
"July 23, 2015 at 08:13AM",Wednesday,azooz3302
"July 23, 2015 at 10:21PM",Thursday,heyyy_joee
"July 22, 2015 at 09:05PM",Wednesday,sabantuichik
"July 23, 2015 at 08:49AM",Wednesday,jules_mairesse
"July 23, 2015 at 06:10PM",Thursday,paolobolo
"July 23, 2015 at 11:18PM",Thursday,jojojule
"July 22, 2015 at 09:58PM",Wednesday,alain_ben
"July 23, 2015 at 11:18PM",Thursday,talimiguel
"July 23, 2015 at 06:58PM",Thursday,thefroginthemug
"July 22, 2015 at 09:40PM",Wednesday,manon_merie
"July 22, 2015 at 03:21PM",Wednesday,hicone
"July 23, 2015 at 02:16AM",Wednesday,fernandopachecobellas
"July 22, 2015 at 10:47PM",Wednesday,omardumeto
"July 23, 2015 at 05:40AM",Wednesday,ikieya
"July 22, 2015 at 02:30PM",Wednesday,badgalniek
"July 22, 2015 at 04:54PM",Wednesday,sussuch
"July 24, 2015 at 11:16AM",Friday,lorenelnrpa_risienne
"July 23, 2015 at 05:30AM",Wednesday,rbkdtch
"July 22, 2015 at 06:57PM",Wednesday,ian_johnstone1
"July 24, 2015 at 03:28AM",Thursday,ali_ains
"July 23, 2015 at 12:24PM",Thursday,burcubabayigit
"July 23, 2015 at 08:19AM",Wednesday,enrangdoignons
"July 23, 2015 at 08:44AM",Wednesday,missbbeycaro225
"July 22, 2015 at 10:26PM",Wednesday,forte050789
"July 23, 2015 at 10:42AM",Thursday,irene_yelin
"July 22, 2015 at 08:49PM",Wednesday,jordannahleach
"July 23, 2015 at 06:13PM",Thursday,angelinamaggie
"July 24, 2015 at 12:22AM",Thursday,uesenn
"July 23, 2015 at 03:13PM",Thursday,titi_kamall
"July 24, 2015 at 01:48PM",Friday,lucille__v
"July 23, 2015 at 04:41PM",Thursday,chalniski
"July 24, 2015 at 08:51AM",Thursday,kjewelphotog
"July 23, 2015 at 03:22PM",Thursday,titi_kamall
"July 24, 2015 at 11:42AM",Friday,erisieburger
"July 23, 2015 at 07:57PM",Thursday,quamarlee
"July 22, 2015 at 12:52PM",Wednesday,gulari
"July 23, 2015 at 08:37AM",Wednesday,aidabalica
"July 24, 2015 at 12:41AM",Thursday,kovalevvlad
"July 23, 2015 at 09:33AM",Wednesday,_marcecast
"July 23, 2015 at 10:34PM",Thursday,skylarjane
"July 23, 2015 at 02:26AM",Wednesday,joseantonioesparza
"July 24, 2015 at 03:35PM",Friday,sand.deep_
"July 23, 2015 at 06:25PM",Thursday,danyelavds
"July 22, 2015 at 09:30PM",Wednesday,tulluv
