Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 22, 2015 at 08:24PM",Wednesday,Weekday,8am - 4pm,iamkellyoyono,hi
"July 22, 2015 at 07:35PM",Wednesday,Weekday,8am - 4pm,reicheru88,hi
"July 24, 2015 at 09:57AM",Thursday,Weekday,4pm - 12am,stephchermont,hi
"July 23, 2015 at 12:04PM",Thursday,Weekday,12am - 8am,officialberdina,hi
"July 23, 2015 at 10:46AM",Thursday,Weekday,12am - 8am,c.h.e.t.t.i,hi
"July 23, 2015 at 05:37AM",Wednesday,Weekday,4pm - 12am,stevew_59,hi
"July 22, 2015 at 01:36PM",Wednesday,Weekday,12am - 8am,tomarley,hi
"July 24, 2015 at 08:48AM",Thursday,Weekday,4pm - 12am,madelinedelaney,hi
"July 22, 2015 at 10:47PM",Wednesday,Weekday,8am - 4pm,watsoninparis,hi
"July 22, 2015 at 11:33PM",Wednesday,Weekday,8am - 4pm,emirotluoglu,hi
"July 23, 2015 at 10:37AM",Thursday,Weekday,12am - 8am,iamdonbocari,hi
"July 23, 2015 at 12:03AM",Wednesday,Weekday,8am - 4pm,hubert_theesntl,hi
"July 23, 2015 at 03:15AM",Wednesday,Weekday,4pm - 12am,midnightinparis.claudia,hi
"July 24, 2015 at 10:07AM",Friday,Weekday,12am - 8am,eunddoni_s2,hi
"July 24, 2015 at 03:53AM",Thursday,Weekday,4pm - 12am,davidmedina161,hi
"July 23, 2015 at 06:39PM",Thursday,Weekday,8am - 4pm,isabellafonti,hi
"July 24, 2015 at 12:13PM",Friday,Weekday,12am - 8am,malpal29,hi
"July 24, 2015 at 12:22AM",Thursday,Weekday,8am - 4pm,chophaa,hi
"July 23, 2015 at 08:23AM",Wednesday,Weekday,4pm - 12am,enrangdoignons,hi
"July 23, 2015 at 07:16PM",Thursday,Weekday,8am - 4pm,vitogia72,hi
"July 24, 2015 at 09:47AM",Thursday,Weekday,4pm - 12am,remidargegenphotographies,hi
"July 24, 2015 at 11:42AM",Friday,Weekday,12am - 8am,tritranz1990,hi
"July 22, 2015 at 10:27PM",Wednesday,Weekday,8am - 4pm,shadai_joyce,hi
"July 23, 2015 at 03:19AM",Wednesday,Weekday,4pm - 12am,staka0418,hi
"July 24, 2015 at 09:04AM",Thursday,Weekday,4pm - 12am,mrbirkin,hi
"July 22, 2015 at 08:57PM",Wednesday,Weekday,8am - 4pm,moksh_the_restrolounge,hi
"July 24, 2015 at 03:39AM",Thursday,Weekday,4pm - 12am,maisonmanureas,hi
"July 23, 2015 at 04:38PM",Thursday,Weekday,12am - 8am,avekefir,hi
"July 24, 2015 at 12:43PM",Friday,Weekday,12am - 8am,estefanybetsn,hi
"July 23, 2015 at 11:41PM",Thursday,Weekday,8am - 4pm,megantickle,hi
"July 24, 2015 at 02:25PM",Friday,Weekday,12am - 8am,margauxgr_,hi
"July 22, 2015 at 07:08PM",Wednesday,Weekday,8am - 4pm,mile_rb,hi
"July 22, 2015 at 01:45PM",Wednesday,Weekday,12am - 8am,_emilys211_,hi
"July 22, 2015 at 04:47PM",Wednesday,Weekday,12am - 8am,robinvirginie,hi
"July 24, 2015 at 05:45AM",Thursday,Weekday,4pm - 12am,segerpolen,hi
"July 24, 2015 at 09:50AM",Thursday,Weekday,4pm - 12am,remidargegenphotographies,hi
"July 23, 2015 at 10:25AM",Thursday,Weekday,12am - 8am,fionabrissonofficial,hi
"July 23, 2015 at 05:08PM",Thursday,Weekday,12am - 8am,thecultcollective,hi
"July 24, 2015 at 12:19PM",Friday,Weekday,12am - 8am,rebeccamcrosby,hi
"July 24, 2015 at 06:36AM",Thursday,Weekday,4pm - 12am,psilo84,hi
"July 23, 2015 at 08:13AM",Wednesday,Weekday,4pm - 12am,azooz3302,hi
"July 23, 2015 at 10:21PM",Thursday,Weekday,8am - 4pm,heyyy_joee,hi
"July 22, 2015 at 09:05PM",Wednesday,Weekday,8am - 4pm,sabantuichik,hi
"July 23, 2015 at 08:49AM",Wednesday,Weekday,4pm - 12am,jules_mairesse,hi
"July 23, 2015 at 06:10PM",Thursday,Weekday,8am - 4pm,paolobolo,hi
"July 23, 2015 at 11:18PM",Thursday,Weekday,8am - 4pm,jojojule,hi
"July 22, 2015 at 09:58PM",Wednesday,Weekday,8am - 4pm,alain_ben,hi
"July 23, 2015 at 11:18PM",Thursday,Weekday,8am - 4pm,talimiguel,hi
"July 23, 2015 at 06:58PM",Thursday,Weekday,8am - 4pm,thefroginthemug,hi
"July 22, 2015 at 09:40PM",Wednesday,Weekday,8am - 4pm,manon_merie,hi
"July 22, 2015 at 03:21PM",Wednesday,Weekday,12am - 8am,hicone,hi
"July 23, 2015 at 02:16AM",Wednesday,Weekday,4pm - 12am,fernandopachecobellas,hi
"July 22, 2015 at 10:47PM",Wednesday,Weekday,8am - 4pm,omardumeto,hi
"July 23, 2015 at 05:40AM",Wednesday,Weekday,4pm - 12am,ikieya,hi
"July 22, 2015 at 02:30PM",Wednesday,Weekday,12am - 8am,badgalniek,hi
